Symbol,Type,Entry Time,Entry Price,Exit Time,Exit Price,PnL,Cumulative PnL,Exit Reason
NIFTY BANK,Long,2021-11-03 11:35:00,39954.25,2021-11-03 11:45:00,39875.1,-79.15,-1566.35,StopLoss
NIFTY BANK,Short,2021-11-08 09:15:00,39408.0,2021-11-08 09:20:00,39308.0,100.0,-1466.35,TakeProfit
NIFTY BANK,Short,2021-11-09 09:15:00,39416.65,2021-11-09 09:35:00,39517.85,-101.20,-1567.55,StopLoss
NIFTY BANK,Short,2021-11-12 09:20:00,38625.25,2021-11-12 09:30:00,38737.9,-112.65,-1680.20,StopLoss
NIFTY BANK,Short,2021-11-15 11:40:00,38691.65,2021-11-15 12:45:00,38747.05,-55.40,-1735.60,StopLoss
NIFTY BANK,Long,2021-11-17 09:45:00,38245.95,2021-11-17 09:50:00,38216.15,-29.80,-1765.40,StopLoss
NIFTY BANK,Long,2021-11-18 09:15:00,38198.7,2021-11-18 10:15:00,37944.6,-254.1,-2019.50,StopLoss
NIFTY BANK,Short,2021-11-22 09:15:00,37898.15,2021-11-22 09:20:00,37798.15,100.00,-1919.50,TakeProfit
NIFTY BANK,Long,2021-11-23 13:50:00,37320.1,2021-11-23 13:55:00,37244.4,-75.7,-1995.20,StopLoss
NIFTY BANK,Long,2021-11-25 11:15:00,37443.55,2021-11-25 11:40:00,37359.6,-83.95,-2079.15,StopLoss
NIFTY BANK,Short,2021-11-29 09:15:00,35556.45,2021-11-29 09:20:00,35456.45,100.00,-1979.15,TakeProfit
NIFTY BANK,Short,2021-11-30 11:35:00,35921.7,2021-11-30 11:40:00,35990.1,-68.4,-2047.55,StopLoss
NIFTY BANK,Long,2021-12-01 09:15:00,36108.0,2021-12-01 10:20:00,35840.7,-267.3,-2314.85,StopLoss
NIFTY BANK,Long,2021-12-02 09:15:00,36326.7,2021-12-02 09:25:00,36191.15,-135.55,-2450.40,StopLoss
NIFTY BANK,Short,2021-12-03 12:30:00,36499.25,2021-12-03 12:40:00,36399.25,100.00,-2350.40,TakeProfit
NIFTY BANK,Long,2021-12-06 10:40:00,36316.4,2021-12-06 10:45:00,36278.75,-37.65,-2388.05,StopLoss
NIFTY BANK,Long,2021-12-07 09:15:00,36167.55,2021-12-07 09:40:00,36267.55,100.00,-2288.05,TakeProfit
NIFTY BANK,Short,2021-12-09 09:20:00,37181.35,2021-12-09 09:25:00,37081.35,100.00,-2188.05,TakeProfit
