Symbol,Type,Entry Time,Entry Price,Exit Time,Exit Price,PnL,Cumulative PnL
NIFTY 50,Short,2022-11-16 09:15:00,18379.05,2022-11-16 10:05:00,18391.85,-12.80,-236.55
NIFTY 50,Short,2022-11-25 09:15:00,18468.95,2022-11-25 10:25:00,18485.55,-16.60,-253.15
NIFTY 50,Short,2022-12-30 09:30:00,18214.3,2022-12-30 12:15:00,18216.05,-1.75,-254.90
NIFTY 50,Short,2023-01-09 11:55:00,18126.15,2023-01-09 13:55:00,18038.1,88.05,-166.85
NIFTY 50,Short,2023-02-16 09:45:00,18107.25,2023-02-16 13:05:00,18081.1,26.15,-140.70
NIFTY 50,Long,2023-03-10 09:55:00,17378.95,2023-03-10 12:00:00,17401.7,22.75,-117.95
NIFTY 50,Short,2023-03-31 09:55:00,17261.55,2023-03-31 10:00:00,17277.4,-15.85,-133.80
NIFTY 50,Short,2023-03-31 14:20:00,17360.55,2023-03-31 14:45:00,17376.2,-15.65,-149.45
NIFTY 50,Short,2023-04-05 09:40:00,17457.95,2023-04-05 09:45:00,17481.55,-23.60,-173.05
NIFTY 50,Short,2023-04-24 13:45:00,17702.5,2023-04-24 14:00:00,17711.15,-8.65,-181.70
NIFTY 50,Short,2023-04-28 15:25:00,18048.9,2023-05-02 09:15:00,18135.2,-86.3,-268.00
NIFTY 50,Short,2023-05-04 15:20:00,18251.0,2023-05-05 10:05:00,18199.85,51.15,-216.85
NIFTY 50,Long,2023-05-17 12:20:00,18152.55,2023-05-17 13:30:00,18118.6,-33.95,-250.80
NIFTY 50,Short,2023-05-22 09:55:00,18275.65,2023-05-22 10:55:00,18303.15,-27.50,-278.30
NIFTY 50,Short,2023-05-26 11:50:00,18423.85,2023-05-26 12:00:00,18435.2,-11.35,-289.65
NIFTY 50,Short,2023-05-26 12:10:00,18433.55,2023-05-26 13:35:00,18445.85,-12.30,-301.95
NIFTY 50,Short,2023-06-28 09:40:00,18870.15,2023-06-28 09:45:00,18882.7,-12.55,-314.50
NIFTY 50,Short,2023-06-28 12:10:00,18956.6,2023-06-28 13:10:00,18994.9,-38.3,-352.80
NIFTY 50,Short,2023-07-03 09:55:00,19310.2,2023-07-03 11:45:00,19297.8,12.4,-340.40
NIFTY 50,Short,2023-09-08 09:35:00,19777.9,2023-09-08 09:45:00,19781.05,-3.15,-343.55
NIFTY 50,Short,2023-11-15 10:35:00,19632.3,2023-11-15 12:20:00,19636.95,-4.65,-348.20
NIFTY 50,Short,2023-11-16 14:50:00,19849.75,2023-11-17 09:40:00,19779.25,70.50,-277.70
NIFTY 50,Short,2023-11-29 10:20:00,20006.6,2023-11-29 11:30:00,20025.55,-18.95,-296.65
NIFTY 50,Short,2023-11-30 09:25:00,20111.85,2023-11-30 09:35:00,20122.3,-10.45,-307.10
NIFTY 50,Short,2023-12-05 09:55:00,20775.5,2023-12-05 10:00:00,20791.85,-16.35,-323.45
NIFTY 50,Short,2023-12-05 10:30:00,20816.1,2023-12-05 12:30:00,20783.2,32.9,-290.55
NIFTY 50,Short,2023-12-06 09:30:00,20908.3,2023-12-06 09:35:00,20934.35,-26.05,-316.60
NIFTY 50,Short,2023-12-14 10:15:00,21156.25,2023-12-14 11:40:00,21179.5,-23.25,-339.85
NIFTY 50,Short,2023-12-15 15:25:00,21448.7,2023-12-18 10:25:00,21474.05,-25.35,-365.20
NIFTY 50,Long,2023-12-21 09:35:00,21038.9,2023-12-21 13:05:00,21224.5,185.6,-179.60
NIFTY 50,Short,2024-01-12 14:00:00,21880.3,2024-01-12 14:25:00,21891.3,-11.0,-190.60
NIFTY 50,Short,2024-02-14 15:10:00,21814.25,2024-02-14 15:20:00,21849.1,-34.85,-225.45
NIFTY 50,Short,2024-02-22 15:25:00,22216.9,2024-02-23 09:15:00,22259.75,-42.85,-268.30
NIFTY 50,Short,2024-02-23 09:20:00,22248.65,2024-02-23 10:10:00,22269.95,-21.30,-289.60
NIFTY 50,Short,2024-03-06 14:50:00,22438.95,2024-03-06 15:00:00,22469.2,-30.25,-319.85
NIFTY 50,Short,2024-04-29 13:45:00,22607.7,2024-04-29 13:55:00,22620.7,-13.0,-332.85
NIFTY 50,Short,2024-05-23 13:00:00,22827.25,2024-05-23 13:05:00,22840.05,-12.80,-345.65
